address,area,bathrooms,bedrooms,condo,parking_spots,price,suites,type
"Rua Francisca Ivone Cavalcante, 35 - Ponta Negra, Natal - RN",93.0,3.0,3.0,550.0,2.0,420000.0,1.0,apartment
"Rua Jornalista Francisco Sinedino, 535 - Lagoa Nova, Natal - RN",77.0,3.0,3.0,400.0,2.0,420000.0,1.0,apartment
"Ponta Negra, Natal - RN",55.0,2.0,2.0,370.0,1.0,220000.0,1.0,apartment
"Rua das Perdizes, 7979 - Pitimbu, Natal - RN",55.0,2.0,2.0,260.0,1.0,200000.0,1.0,apartment
"Rua dos Tororós, 730 - Lagoa Nova, Natal - RN",136.0,4.0,3.0,700.0,4.0,750000.0,3.0,apartment
"Avenida Almirante Barroso, 284 - Liberdade, Campina Grande - PB",46.0,1.0,1.0,,1.0,,,other
"Rua Doutor Francisco Leite de Carvalho, 2377 - Lagoa Nova, Natal - RN",104.0,3.0,3.0,650.0,2.0,500000.0,1.0,apartment
"Avenida Governador Sílvio Pedroza, 200 - Areia Preta, Natal - RN",89.0,1.0,2.0,,1.0,320000.0,1.0,apartment
"Rua das Conchas, 2149 - Ponta Negra, Natal - RN",56.0,2.0,2.0,2.0,1.0,280000.0,2.0,other
"Rua Apodi - Tirol, Natal - RN",58.0,,2.0,660.0,1.0,199900.0,1.0,apartment
"Rua Joaquim Eduardo de Farias, 213 - Neópolis, Natal - RN",56.0,2.0,2.0,,1.0,190000.0,1.0,apartment
"Rua Ilíria Tavares Galvão, 52 - Tirol, Natal - RN",100.0,2.0,3.0,,2.0,450000.0,1.0,apartment
"Avenida Presidente Getúlio Vargas, 782 - Petrópolis, Natal - RN",276.0,5.0,4.0,1500.0,2.0,750000.0,3.0,apartment
"Rua Jardim Cristal, 64 - Planalto, Natal - RN",85.0,1.0,3.0,,1.0,70000.0,,house
"Avenida Amintas Barros, 3735 - Nova Descoberta, Natal - RN",118.0,4.0,3.0,550.0,2.0,520000.0,3.0,apartment
"Rua Nossa Senhora de Lourdes - Tirol, Natal - RN",166.0,4.0,5.0,950.0,2.0,500000.0,3.0,apartment
"Capim Macio, Natal - RN",98.0,3.0,3.0,900.0,2.0,419000.0,1.0,apartment
"Rua Joaquim Eduardo de Farias, 213 - Neópolis, Natal - RN",56.0,2.0,2.0,260.0,1.0,190000.0,1.0,apartment
"Rua Teotônio Freire - Ribeira, Natal - RN",75.0,2.0,3.0,330.0,2.0,260000.0,1.0,apartment
"Rua dos Tororós - Lagoa Nova, Natal - RN",173.0,,4.0,1000.0,3.0,1000000.0,4.0,apartment
"Rua Mipibu, 741 - Petrópolis, Natal - RN",103.0,2.0,3.0,520.0,2.0,450000.0,1.0,apartment
"Avenida Governador Sílvio Pedroza, 13 - Areia Preta, Natal - RN",431.0,4.0,5.0,2600.0,4.0,3400000.0,4.0,apartment
"Rua Tenente Benedito Pereira, 402 - Petrópolis, Natal - RN",270.0,3.0,4.0,,1.0,430000.0,2.0,house
"Rua Ilíria Tavares Galvão, 52 - Tirol, Natal - RN",103.0,3.0,3.0,578.0,2.0,490000.0,1.0,apartment
"Rua Doutor Israel Nunes, 1610 - Tirol, Natal - RN",150.0,3.0,3.0,1100.0,2.0,400000.0,1.0,apartment
"Avenida Capitão-Mor Gouveia, 2488 - Lagoa Nova, Natal - RN",161.0,4.0,3.0,566.0,3.0,399000.0,1.0,apartment
"Rua Militão Chaves, 2059 - Candelária, Natal - RN",110.0,3.0,4.0,320.0,2.0,244444.0,1.0,apartment
"Avenida Prudente de Morais, 1044 - Tirol, Natal - RN",208.0,5.0,4.0,1104.0,4.0,1700000.0,3.0,apartment
"Rua Industrial João Motta, 1685 - Capim Macio, Natal - RN",270.0,4.0,4.0,,4.0,650000.0,4.0,house
"Avenida Capitão-Mor Gouveia, 2488 - Cidade da Esperança, Natal - RN",69.0,1.0,2.0,290.0,1.0,245000.0,1.0,apartment
"Avenida Nilo Peçanha, 263 - Petrópolis, Natal - RN",130.0,3.0,3.0,1150.0,2.0,350000.0,1.0,apartment
"Rua Cristais de Gelo - Redinha, Natal - RN",54.0,2.0,2.0,,1.0,145000.0,1.0,apartment
"Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN",60.0,1.0,1.0,330.0,1.0,399000.0,1.0,apartment
"Avenida Amintas Barros, 3700 - Lagoa Nova, Natal - RN",33.0,1.0,,,1.0,220000.0,,other
"Rua Jaguarari, 4985 - Candelária, Natal - RN",123.0,4.0,3.0,,2.0,499000.0,2.0,apartment
"Rua Santa Vitória do Palmar - Neópolis, Natal - RN",171.0,3.0,3.0,,2.0,500000.0,3.0,other
"Ponta Negra, Natal - RN",54.0,2.0,2.0,,1.0,265000.0,1.0,apartment
"Ponta Negra, Natal - RN",450.0,,,600.0,,330000.0,,other
"Rua Jornalista Francisco Sinedino, 535 - Lagoa Nova, Natal - RN",77.0,3.0,3.0,400.0,2.0,399000.0,1.0,apartment
"Rua Desportista Jeremias Pinheiro da Câmara Filho, 500 - Neópolis, Natal - RN",55.0,2.0,2.0,310.0,1.0,180000.0,1.0,apartment
"Avenida Deodoro da Fonseca, 246 - Petrópolis, Natal - RN",100.0,4.0,3.0,700.0,1.0,330000.0,1.0,apartment
"Rua Doutor Rômulo Jorge, 120 - Lagoa Nova, Natal - RN",116.0,4.0,3.0,650.0,2.0,490000.0,2.0,apartment
"Rua Doutor Rômulo Jorge, 160 - Lagoa Nova, Natal - RN",130.0,5.0,3.0,810.0,2.0,749900.0,3.0,apartment
"Rua Pastor Gabino Brelaz, 1401 - Capim Macio, Natal - RN",84.0,2.0,3.0,535.0,1.0,250000.0,1.0,apartment
"Rua Raimundo Chaves - Candelária, Natal - RN",27.0,1.0,,,1.0,130000.0,,other
"Rua Desportista Jeremias Pinheiro da Câmara Filho, 500 - Ponta Negra, Natal - RN",164.0,2.0,3.0,830.0,,466200.0,2.0,other
"Rua Epitácio Andrade, 1350 - Barro Vermelho, Natal - RN",98.0,3.0,4.0,630.0,2.0,299000.0,2.0,apartment
"Avenida Amintas Barros, 1420 - Lagoa Nova, Natal - RN",56.0,2.0,2.0,300.0,1.0,220000.0,1.0,apartment
"Rua Prefeito Sandoval Cavalcante de Albuquerque, 3629 - Candelária, Natal - RN",75.0,2.0,3.0,450.0,2.0,230000.0,1.0,apartment
"Rua Hélio Galvão, 105 - Ponta Negra, Natal - RN",600.0,5.0,4.0,,4.0,1500000.0,3.0,house
"Rua Doutor Mario Negócio, 1497 - Alecrim, Natal - RN",530.0,,,,,950000.0,,other
"Rua Pedro Fonseca Filho - Ponta Negra, Natal - RN",641.0,16.0,13.0,,1.0,2300000.0,,other
"Avenida Engenheiro Roberto Freire, 3042 - Ponta Negra, Natal - RN",56.0,1.0,2.0,420.0,1.0,360000.0,2.0,apartment
"Rua Nival Câmara, 200 - Tirol, Natal - RN",116.0,4.0,3.0,700.0,3.0,650000.0,2.0,apartment
"Rua Doutor Múcio Galvão, 411 - Barro Vermelho, Natal - RN",137.0,5.0,3.0,900.0,3.0,620000.0,3.0,apartment
"Rua Francisco Borges de Oliveira, 111 - Lagoa Nova, Natal - RN",92.0,3.0,3.0,450.0,2.0,550000.0,2.0,apartment
"Rua dos Pintassilgos, 70 - Pitimbu, Natal - RN",58.0,2.0,2.0,350.0,1.0,180000.0,1.0,apartment
"Avenida Governador Sílvio Pedroza, 246 - Areia Preta, Natal - RN",282.0,7.0,4.0,1900.0,4.0,2300000.0,4.0,apartment
"Avenida dos Caiapós, 121 - Pitimbu, Natal - RN",67.0,2.0,2.0,350.0,1.0,270000.0,1.0,apartment
"Avenida Capitão-Mor Gouveia, 2488 - Lagoa Nova, Natal - RN",90.0,1.0,3.0,380.0,2.0,380000.0,1.0,apartment
"Avenida Amintas Barros, 3170 - Lagoa Nova, Natal - RN",142.0,5.0,3.0,800.0,2.0,750000.0,3.0,apartment
"Rua da Praia, 100 - Ponta Negra, Natal - RN",40.0,1.0,1.0,,1.0,170000.0,,other
"Rua Seridó, 754 - Petrópolis, Natal - RN",140.0,3.0,4.0,830.0,1.0,260000.0,2.0,apartment
"Rua Epitácio Andrade, 1420 - Barro Vermelho, Natal - RN",398.0,7.0,6.0,1050.0,3.0,1100000.0,5.0,apartment
